id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,EGG_GAME,Client,M.EGG,0,258,4,3,EGG,2.0,104.000005,106.000005,100.0,104.000005
2,COMP_M,EGG_GAME,Client,M.EGG,2,259,7,6,EGG,2.0,104.000005,106.000005,100.0,104.000005
3,COMP_M,EGG_GAME,Client,M.EGG,4,260,10,9,EGG,2.0,104.000005,106.000005,100.0,104.000005
4,COMP_M,EGG_GAME,Client,M.EGG,6,261,13,12,EGG,2.0,104.000005,106.000005,100.0,104.000005
5,COMP_M,EGG_GAME,Client,M.EGG,8,262,17,16,EGG,2.0,104.000005,106.000005,100.0,104.000005
6,COMP_M,EGG_GAME,Client,M.EGG,10,263,20,19,EGG,2.0,104.000005,106.000005,100.0,104.000005
7,COMP_M,EGG_GAME,Client,M.EGG,12,264,23,22,EGG,2.0,104.000005,106.000005,100.0,104.000005
8,COMP_M,EGG_GAME,Client,M.EGG,14,265,26,25,EGG,2.0,104.000005,106.000005,100.0,104.000005
9,COMP_M,EGG_GAME,Client,M.EGG,16,266,30,29,EGG,2.0,104.000005,106.000005,100.0,104.000005
10,COMP_M,EGG_GAME,Client,M.EGG,18,267,33,32,EGG,2.0,104.000005,106.000005,100.0,104.000005
11,COMP_M,EGG_GAME,Client,M.EGG,20,268,36,35,EGG,2.0,104.000005,106.000005,100.0,104.000005
12,COMP_M,EGG_GAME,Client,M.EGG,22,269,39,38,EGG,2.0,104.000005,106.000005,100.0,104.000005
13,COMP_M,EGG_GAME,Client,M.EGG,24,270,43,42,EGG,2.0,104.000005,106.000005,100.0,104.000005
14,COMP_M,EGG_GAME,Client,M.EGG,26,271,46,45,EGG,2.0,104.000005,106.000005,100.0,104.000005
15,COMP_M,EGG_GAME,Client,M.EGG,28,272,49,48,EGG,2.0,104.000005,106.000005,100.0,104.000005
16,COMP_M,EGG_GAME,Client,M.EGG,30,273,52,51,EGG,2.0,104.000005,106.000005,100.0,104.000005
17,COMP_M,EGG_GAME,Client,M.EGG,32,274,56,55,EGG,2.0,104.000005,106.000005,100.0,104.000005
18,COMP_M,EGG_GAME,Client,M.EGG,34,275,59,58,EGG,2.0,104.000005,106.000005,100.0,104.000005
19,COMP_M,EGG_GAME,Client,M.EGG,36,276,62,61,EGG,2.0,104.000005,106.000005,100.0,104.000005
20,COMP_M,EGG_GAME,Client,M.EGG,38,277,65,64,EGG,2.0,104.000005,106.000005,100.0,104.000005
21,COMP_M,EGG_GAME,Client,M.EGG,40,278,69,68,EGG,2.0,104.000005,106.000005,100.0,104.000005
22,COMP_M,EGG_GAME,Client,M.EGG,42,279,72,71,EGG,2.0,104.000005,106.000005,100.0,104.000005
23,COMP_M,EGG_GAME,Client,M.EGG,44,280,75,74,EGG,2.0,104.000005,106.000005,100.0,104.000005
24,COMP_M,EGG_GAME,Client,M.EGG,46,281,78,77,EGG,2.0,104.000005,106.000005,100.0,104.000005
25,COMP_M,EGG_GAME,Client,M.EGG,48,282,82,81,EGG,2.0,104.000005,106.000005,100.0,104.000005
26,COMP_M,EGG_GAME,Client,M.EGG,50,283,85,84,EGG,2.0,104.000005,106.000005,100.0,104.000005
27,COMP_M,EGG_GAME,Client,M.EGG,52,284,88,87,EGG,2.0,104.000005,106.000005,100.0,104.000005
28,COMP_M,EGG_GAME,Client,M.EGG,54,285,91,90,EGG,2.0,104.000005,106.000005,100.0,104.000005
29,COMP_M,EGG_GAME,Client,M.EGG,56,286,95,94,EGG,2.0,104.000005,106.000005,100.0,104.000005
30,COMP_M,EGG_GAME,Client,M.EGG,58,287,98,97,EGG,2.0,104.000005,106.000005,100.0,104.000005
31,COMP_M,EGG_GAME,Client,M.EGG,60,288,101,100,EGG,2.0,104.000005,106.000005,100.0,104.000005
32,COMP_M,EGG_GAME,Client,M.EGG,62,289,104,103,EGG,2.0,104.000005,106.000005,100.0,104.000005
33,COMP_M,EGG_GAME,Client,M.EGG,64,290,108,107,EGG,2.0,104.000005,106.000005,100.0,104.000005
34,COMP_M,EGG_GAME,Client,M.EGG,66,291,111,110,EGG,2.0,104.000005,106.000005,100.0,104.000005
35,COMP_M,EGG_GAME,Client,M.EGG,68,292,114,113,EGG,2.0,104.000005,106.000005,100.0,104.000005
36,COMP_M,EGG_GAME,Client,M.EGG,70,293,117,116,EGG,2.0,104.000005,106.000005,100.0,104.000005
37,COMP_M,EGG_GAME,Client,M.EGG,72,294,121,120,EGG,2.0,104.000005,106.000005,100.0,104.000005
38,COMP_M,EGG_GAME,Client,M.EGG,74,295,124,123,EGG,2.0,104.000005,106.000005,100.0,104.000005
39,COMP_M,EGG_GAME,Client,M.EGG,76,296,127,126,EGG,2.0,104.000005,106.000005,100.0,104.000005
40,COMP_M,EGG_GAME,Client,M.EGG,78,297,130,129,EGG,2.0,104.000005,106.000005,100.0,104.000005
41,COMP_M,EGG_GAME,Client,M.EGG,80,298,134,133,EGG,2.0,104.000005,106.000005,100.0,104.000005
