id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,1,0,SimpleCase,10.001,M.A,100,1000,0
1,LINK,0,2,SimpleCase,1.0005,M.B,110.00500000000001,500,0
2,LINK,1,0,SimpleCase,10.001,M.A,200,1000,0
2,LINK,0,2,SimpleCase,1.0005,M.B,210.005,500,0
3,LINK,1,0,SimpleCase,10.001,M.A,300,1000,0
3,LINK,0,2,SimpleCase,1.0005,M.B,310.005,500,0
4,LINK,1,0,SimpleCase,10.001,M.A,400,1000,0
4,LINK,0,2,SimpleCase,1.0005,M.B,410.005,500,0
5,LINK,1,0,SimpleCase,10.001,M.A,500,1000,0
5,LINK,0,2,SimpleCase,1.0005,M.B,510.005,500,0
6,LINK,1,0,SimpleCase,10.001,M.A,600,1000,0
6,LINK,0,2,SimpleCase,1.0005,M.B,610.005,500,0
7,LINK,1,0,SimpleCase,10.001,M.A,700,1000,0
7,LINK,0,2,SimpleCase,1.0005,M.B,710.005,500,0
8,LINK,1,0,SimpleCase,10.001,M.A,800,1000,0
8,LINK,0,2,SimpleCase,1.0005,M.B,810.005,500,0
9,LINK,1,0,SimpleCase,10.001,M.A,900,1000,0
9,LINK,0,2,SimpleCase,1.0005,M.B,910.005,500,0
10,LINK,1,0,SimpleCase,10.001,M.A,1000,1000,0
10,LINK,0,2,SimpleCase,1.0005,M.B,1010.005,500,0
11,LINK,1,0,SimpleCase,10.001,M.A,1100,1000,0
11,LINK,0,2,SimpleCase,1.0005,M.B,1110.0049999999999,500,0
12,LINK,1,0,SimpleCase,10.001,M.A,1200,1000,0
12,LINK,0,2,SimpleCase,1.0005,M.B,1210.0049999999999,500,0
13,LINK,1,0,SimpleCase,10.001,M.A,1300,1000,0
13,LINK,0,2,SimpleCase,1.0005,M.B,1310.0049999999999,500,0
14,LINK,1,0,SimpleCase,10.001,M.A,1400,1000,0
14,LINK,0,2,SimpleCase,1.0005,M.B,1410.0049999999999,500,0
15,LINK,1,0,SimpleCase,10.001,M.A,1500,1000,0
15,LINK,0,2,SimpleCase,1.0005,M.B,1510.0049999999999,500,0
16,LINK,1,0,SimpleCase,10.001,M.A,1600,1000,0
16,LINK,0,2,SimpleCase,1.0005,M.B,1610.0049999999999,500,0
17,LINK,1,0,SimpleCase,10.001,M.A,1700,1000,0
17,LINK,0,2,SimpleCase,1.0005,M.B,1710.0049999999999,500,0
18,LINK,1,0,SimpleCase,10.001,M.A,1800,1000,0
18,LINK,0,2,SimpleCase,1.0005,M.B,1810.0049999999999,500,0
19,LINK,1,0,SimpleCase,10.001,M.A,1900,1000,0
19,LINK,0,2,SimpleCase,1.0005,M.B,1910.0049999999999,500,0
20,LINK,1,0,SimpleCase,10.001,M.A,2000,1000,0
20,LINK,0,2,SimpleCase,1.0005,M.B,2010.0049999999999,500,0
21,LINK,1,0,SimpleCase,10.001,M.A,2100,1000,0
