action_class_type,agent_class_type,action_id,from_node_id,to_node_id,agent_des_id,service_des_id,time_intervention,log
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,500,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,0,0,0,3,2,500,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,1000.1,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,1,0,0,3,2,1000.1,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,1500.2,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,2,0,0,3,2,1500.2,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,2000.3,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,3,0,0,3,2,2000.3,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,2500.3999999999996,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,4,0,0,3,2,2500.3999999999996,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,3000.4999999999995,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,0,0,0,3,2,3000.4999999999995,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,3500.5999999999995,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,1,0,0,3,2,3500.5999999999995,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,4000.6999999999994,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,2,0,0,3,2,4000.6999999999994,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,4500.799999999999,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,3,0,0,3,2,4500.799999999999,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,5000.9,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,4,0,0,3,2,5000.9,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,5501.0,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,0,0,0,3,2,5501.0,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,6001.1,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,1,0,0,3,2,6001.1,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,6501.200000000001,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,2,0,0,3,2,6501.200000000001,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,7001.300000000001,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,3,0,0,3,2,7001.300000000001,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,7501.4000000000015,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,4,0,0,3,2,7501.4000000000015,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,8001.500000000002,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,0,0,0,3,2,8001.500000000002,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,8501.600000000002,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,1,0,0,3,2,8501.600000000002,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,9001.700000000003,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,2,0,0,3,2,9001.700000000003,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,9501.800000000003,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,3,0,0,3,2,9501.800000000003,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,10001.900000000003,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,4,0,0,3,2,10001.900000000003,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,10502.000000000004,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,0,0,0,3,2,10502.000000000004,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,11002.100000000004,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,1,0,0,3,2,11002.100000000004,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,11502.200000000004,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,2,0,0,3,2,11502.200000000004,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,12002.300000000005,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,3,0,0,3,2,12002.300000000005,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,12502.400000000005,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,4,0,0,3,2,12502.400000000005,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,13002.500000000005,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,0,0,0,3,2,13002.500000000005,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,13502.600000000006,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,1,0,0,3,2,13502.600000000006,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,14002.700000000006,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,2,0,0,3,2,14002.700000000006,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,14502.800000000007,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,3,0,0,3,2,14502.800000000007,
DiscreteNodeIPTInterventions,CloudAgent,2,0,0,3,,15002.900000000007,
DiscretePercentileMessageInstructionsInterventions,CloudAgent,4,0,0,3,2,15002.900000000007,
